transaction_id,amount,location,transaction_time,is_fraud,flag_for_review
TID000001,1875.83,San Antonio,2025-05-29 21:22:05.683775,0,False
TID000002,4753.82,New York,2025-06-11 21:35:16.683775,0,False
TID000003,3661.31,Chicago,2025-06-20 11:57:37.683775,0,False
TID000004,2995.3,Chicago,2025-06-11 11:29:49.683775,0,False
TID000005,784.31,San Diego,2025-05-28 00:09:27.683775,0,False
TID000006,784.19,San Antonio,2025-06-13 09:28:40.683775,0,False
TID000007,295.13,Dallas,2025-06-07 11:02:12.683775,0,False
TID000008,4331.55,New York,2025-06-03 06:45:16.683775,0,False
TID000009,3007.57,Phoenix,2025-05-30 23:56:16.683775,1,False
TID000010,3541.82,New York,2025-06-16 03:23:44.683775,0,False
TID000011,107.82,Chicago,2025-05-29 12:25:08.683775,0,False
TID000012,4849.7,Philadelphia,2025-06-04 08:43:58.683775,0,False
TID000013,4163.05,New York,2025-06-23 01:20:13.683775,0,False
TID000014,1065.63,Los Angeles,2025-05-26 02:29:41.683775,1,False
TID000015,913.22,San Antonio,2025-05-27 12:32:23.683775,0,False
TID000016,921.11,Philadelphia,2025-06-10 06:10:40.683775,0,False
TID000017,1524.69,Chicago,2025-06-05 21:23:23.683775,0,False
TID000018,2626.16,Philadelphia,2025-05-31 04:19:25.683775,0,False
TID000019,2162.57,Dallas,2025-06-21 11:23:33.683775,0,False
TID000020,1459.69,New York,2025-06-04 00:41:36.683775,0,False
TID000021,3061.21,Dallas,2025-05-28 09:32:53.683775,0,False
TID000022,701.77,San Antonio,2025-06-20 23:18:37.683775,0,False
TID000023,1464.26,Houston,2025-06-04 02:58:02.683775,0,False
TID000024,1834.98,Los Angeles,2025-06-22 12:47:50.683775,0,False
TID000025,2283.07,San Jose,2025-06-04 13:12:47.683775,0,False
TID000026,3926.95,Houston,2025-06-05 09:04:29.683775,1,False
TID000027,1002.37,New York,2025-06-10 00:24:40.683775,0,False
TID000028,2573.6,New York,2025-06-01 05:31:29.683775,0,False
TID000029,2964.11,Dallas,2025-06-22 23:58:50.683775,0,False
TID000030,237.02,San Antonio,2025-05-25 04:54:55.683775,0,False
TID000031,3039.69,Dallas,2025-06-07 12:39:36.683775,0,False
TID000032,856.77,San Diego,2025-06-01 02:11:07.683775,0,False
